Data As Of,Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,Pneumonia or Influenza,"Pneumonia, Influenza, or COVID-19 Deaths"
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Alabama,All Ages,0,1098,67,,72,72
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Alaska,All Ages,0,91,,,,
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Arizona,All Ages,0,1278,83,,87,87
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Arkansas,All Ages,0,697,57,,63,63
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,California,All Ages,0,5865,465,43,508,508
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Colorado,All Ages,0,839,47,,52,52
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Connecticut,All Ages,0,638,34,,35,35
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Delaware,All Ages,0,207,11,0,11,11
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,District of Columbia,All Ages,0,95,,,,
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Florida,All Ages,0,4240,246,31,277,277
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Georgia,All Ages,0,1813,112,22,134,134
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Hawaii,All Ages,0,240,26,,28,28
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Idaho,All Ages,0,279,19,,21,21
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Illinois,All Ages,0,2261,146,,149,149
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Indiana,All Ages,0,1445,118,13,131,131
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Iowa,All Ages,0,667,36,,39,39
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Kansas,All Ages,0,605,51,,60,60
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Kentucky,All Ages,0,1097,93,10,103,103
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Louisiana,All Ages,0,930,53,,56,56
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Maine,All Ages,0,325,22,0,22,22
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Maryland,All Ages,0,1066,90,12,102,102
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Massachusetts,All Ages,0,1215,93,,97,97
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Michigan,All Ages,0,2062,115,13,128,128
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Minnesota,All Ages,0,994,62,,69,69
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Mississippi,All Ages,0,675,61,,63,63
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Missouri,All Ages,0,1266,76,,81,81
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Montana,All Ages,0,234,15,,16,16
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Nebraska,All Ages,0,346,24,,30,30
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Nevada,All Ages,0,506,40,,43,43
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,New Hampshire,All Ages,0,266,18,,19,19
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,New Jersey,All Ages,0,1641,76,,82,82
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,New Mexico,All Ages,0,433,32,10,42,42
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,New York,All Ages,0,2202,204,14,218,218
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,New York City,All Ages,0,1117,85,16,101,101
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,North Carolina,All Ages,0,1980,125,,134,134
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,North Dakota,All Ages,0,142,,,,
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Ohio,All Ages,0,2558,138,15,153,153
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Oklahoma,All Ages,0,929,82,,89,89
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Oregon,All Ages,0,741,42,11,53,53
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Pennsylvania,All Ages,0,2772,168,17,185,185
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Rhode Island,All Ages,0,225,15,,16,16
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,South Carolina,All Ages,0,1103,87,15,102,102
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,South Dakota,All Ages,0,176,17,,18,18
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Tennessee,All Ages,0,1558,121,23,144,144
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Texas,All Ages,0,4239,306,42,348,348
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Utah,All Ages,0,374,23,,24,24
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Vermont,All Ages,0,101,,0,,
11/2/23,12/29/19,1/4/20,2020,1,1/4/20,By Week,Week-ending,Virginia,All Ages,0,1454,82,,90,90
